2016-11-18 17:01:19,846 [25] ERROR /Public/ThongKe_DonVi.aspx?id=4 - FileName: D:\Projects\YKCD\Framework\Helper\Form.cs; Line Number: 99 ;Message: Object reference not set to an instance of an object.
2016-11-18 17:01:19,859 [25] ERROR /Public/ThongKe_DonVi.aspx?id=4 - FileName: D:\Projects\YKCD\YKCD.Province.Application\MasterPages\Controls\Public_FunctionControl.ascx.cs; Line Number: 16 ;Message: Object reference not set to an instance of an object.
2016-11-18 17:01:19,859 [25] ERROR /Public/ThongKe_DonVi.aspx?id=4 - FileName: ; Line Number: 0 ;Message: Object reference not set to an instance of an object.
2016-11-18 17:01:19,859 [25] ERROR /Public/ThongKe_DonVi.aspx?id=4 - FileName: ; Line Number: 0 ;Message: Object reference not set to an instance of an object.
2016-11-18 17:01:19,859 [25] ERROR /Public/ThongKe_DonVi.aspx?id=4 - FileName: ; Line Number: 0 ;Message: Object reference not set to an instance of an object.
2016-11-18 17:01:19,859 [25] ERROR /Public/ThongKe_DonVi.aspx?id=4 - FileName: ; Line Number: 0 ;Message: Object reference not set to an instance of an object.
2016-11-18 17:01:19,859 [25] ERROR /Public/ThongKe_DonVi.aspx?id=4 - FileName: ; Line Number: 0 ;Message: Object reference not set to an instance of an object.
2016-11-18 17:01:19,859 [25] ERROR /Public/ThongKe_DonVi.aspx?id=4 - FileName: ; Line Number: 0 ;Message: Object reference not set to an instance of an object.
2016-11-18 17:01:19,860 [25] ERROR /Public/ThongKe_DonVi.aspx?id=4 - FileName: ; Line Number: 0 ;Message: Object reference not set to an instance of an object.
2016-11-25 08:06:59,583 [39] ERROR /Province/YKCD_QuanLy.aspx?pid=8660 - FileName: D:\Projects\YKCD\YKCD.Province.Application\Province\YKCD_QuanLy.aspx.cs; Line Number: 77 ;Message: Object reference not set to an instance of an object.
2016-11-25 08:06:59,595 [39] ERROR /Province/YKCD_QuanLy.aspx?pid=8660 - FileName: D:\Projects\YKCD\Framework\Web\ManagePageBase.cs; Line Number: 86 ;Message: Object reference not set to an instance of an object.
2016-11-25 08:25:34,164 [8] ERROR /Province/YKCD_QuanLy.aspx?pid=8660 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 08:25:34,183 [8] ERROR /Province/YKCD_QuanLy.aspx?pid=8660 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 08:25:34,184 [8] ERROR /Province/YKCD_QuanLy.aspx?pid=8660 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 08:25:34,184 [8] ERROR /Province/YKCD_QuanLy.aspx?pid=8660 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 08:25:34,184 [8] ERROR /Province/YKCD_QuanLy.aspx?pid=8660 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 08:25:34,185 [8] ERROR /Province/YKCD_QuanLy.aspx?pid=8660 - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 08:25:34,185 [8] ERROR /Province/YKCD_QuanLy.aspx?pid=8660 - FileName: D:\Projects\YKCD\Framework\Helper\Redirector.cs; Line Number: 54 ;Message: Thread was being aborted.
2016-11-25 08:25:34,185 [8] ERROR /Province/YKCD_QuanLy.aspx?pid=8660 - FileName: D:\Projects\YKCD\YKCD.Province.Application\Province\YKCD_QuanLy.aspx.cs; Line Number: 89 ;Message: Thread was being aborted.
2016-11-25 08:25:34,186 [8] ERROR /Province/YKCD_QuanLy.aspx?pid=8660 - FileName: D:\Projects\YKCD\Framework\Web\ManagePageBase.cs; Line Number: 86 ;Message: Thread was being aborted.
2016-11-25 09:10:49,804 [44] ERROR /Province/XacNhanHoanThanh.aspx?id=10764 - FileName: ; Line Number: 0 ;Message: DataBinding: 'YKCD.Province.Business.Entities.Agency' does not contain a property with the name 'TenDonVi'.
2016-11-25 09:10:49,819 [44] ERROR /Province/XacNhanHoanThanh.aspx?id=10764 - FileName: ; Line Number: 0 ;Message: DataBinding: 'YKCD.Province.Business.Entities.Agency' does not contain a property with the name 'TenDonVi'.
2016-11-25 09:10:49,819 [44] ERROR /Province/XacNhanHoanThanh.aspx?id=10764 - FileName: ; Line Number: 0 ;Message: DataBinding: 'YKCD.Province.Business.Entities.Agency' does not contain a property with the name 'TenDonVi'.
2016-11-25 09:10:49,819 [44] ERROR /Province/XacNhanHoanThanh.aspx?id=10764 - FileName: ; Line Number: 0 ;Message: DataBinding: 'YKCD.Province.Business.Entities.Agency' does not contain a property with the name 'TenDonVi'.
2016-11-25 09:10:49,819 [44] ERROR /Province/XacNhanHoanThanh.aspx?id=10764 - FileName: ; Line Number: 0 ;Message: DataBinding: 'YKCD.Province.Business.Entities.Agency' does not contain a property with the name 'TenDonVi'.
2016-11-25 09:10:49,819 [44] ERROR /Province/XacNhanHoanThanh.aspx?id=10764 - FileName: ; Line Number: 0 ;Message: DataBinding: 'YKCD.Province.Business.Entities.Agency' does not contain a property with the name 'TenDonVi'.
2016-11-25 09:10:49,819 [44] ERROR /Province/XacNhanHoanThanh.aspx?id=10764 - FileName: D:\Projects\YKCD\Framework\Helper\Form.cs; Line Number: 58 ;Message: DataBinding: 'YKCD.Province.Business.Entities.Agency' does not contain a property with the name 'TenDonVi'.
2016-11-25 09:10:49,819 [44] ERROR /Province/XacNhanHoanThanh.aspx?id=10764 - FileName: D:\Projects\YKCD\YKCD.Province.Application\Province\XacNhanHoanThanh.aspx.cs; Line Number: 18 ;Message: DataBinding: 'YKCD.Province.Business.Entities.Agency' does not contain a property with the name 'TenDonVi'.
2016-11-25 09:10:49,819 [44] ERROR /Province/XacNhanHoanThanh.aspx?id=10764 - FileName: D:\Projects\YKCD\Framework\Web\ManagePageBase.cs; Line Number: 29 ;Message: DataBinding: 'YKCD.Province.Business.Entities.Agency' does not contain a property with the name 'TenDonVi'.
2016-11-25 10:03:11,429 [36] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: Value cannot be null.
Parameter name: uri
2016-11-25 10:03:11,440 [36] ERROR /Province/VanBan_DongBo.aspx - FileName: D:\Projects\YKCD\YKCD.Province.Application\Province\VanBan_DongBo.aspx.cs; Line Number: 26 ;Message: Value cannot be null.
Parameter name: uri
2016-11-25 10:03:11,440 [36] ERROR /Province/VanBan_DongBo.aspx - FileName: D:\Projects\YKCD\Framework\Web\ListViewPageBase.cs; Line Number: 125 ;Message: Value cannot be null.
Parameter name: uri
2016-11-25 10:03:11,440 [36] ERROR /Province/VanBan_DongBo.aspx - FileName: D:\Projects\YKCD\Framework\Web\ListViewPageBase.cs; Line Number: 31 ;Message: Value cannot be null.
Parameter name: uri
2016-11-25 10:03:11,440 [36] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: Value cannot be null.
Parameter name: uri
2016-11-25 10:03:11,440 [36] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: Value cannot be null.
Parameter name: uri
2016-11-25 10:03:11,440 [36] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: Value cannot be null.
Parameter name: uri
2016-11-25 10:03:11,440 [36] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: Value cannot be null.
Parameter name: uri
2016-11-25 10:03:49,424 [44] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: The maximum message size quota for incoming messages (65536) has been exceeded. To increase the quota, use the MaxReceivedMessageSize property on the appropriate binding element.
2016-11-25 10:03:49,439 [44] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: The maximum message size quota for incoming messages (65536) has been exceeded. To increase the quota, use the MaxReceivedMessageSize property on the appropriate binding element.
2016-11-25 10:03:49,439 [44] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: The maximum message size quota for incoming messages (65536) has been exceeded. To increase the quota, use the MaxReceivedMessageSize property on the appropriate binding element.
2016-11-25 10:03:49,439 [44] ERROR /Province/VanBan_DongBo.aspx - FileName: D:\Projects\YKCD\YKCD.Province.Application\Service References\HscvService\Reference.cs; Line Number: 2419 ;Message: The maximum message size quota for incoming messages (65536) has been exceeded. To increase the quota, use the MaxReceivedMessageSize property on the appropriate binding element.
2016-11-25 10:03:49,439 [44] ERROR /Province/VanBan_DongBo.aspx - FileName: D:\Projects\YKCD\YKCD.Province.Application\Service References\HscvService\Reference.cs; Line Number: 2427 ;Message: The maximum message size quota for incoming messages (65536) has been exceeded. To increase the quota, use the MaxReceivedMessageSize property on the appropriate binding element.
2016-11-25 10:03:49,439 [44] ERROR /Province/VanBan_DongBo.aspx - FileName: D:\Projects\YKCD\YKCD.Province.Application\Province\VanBan_DongBo.aspx.cs; Line Number: 28 ;Message: The maximum message size quota for incoming messages (65536) has been exceeded. To increase the quota, use the MaxReceivedMessageSize property on the appropriate binding element.
2016-11-25 10:03:49,439 [44] ERROR /Province/VanBan_DongBo.aspx - FileName: D:\Projects\YKCD\Framework\Web\ListViewPageBase.cs; Line Number: 125 ;Message: The maximum message size quota for incoming messages (65536) has been exceeded. To increase the quota, use the MaxReceivedMessageSize property on the appropriate binding element.
2016-11-25 10:03:49,439 [44] ERROR /Province/VanBan_DongBo.aspx - FileName: D:\Projects\YKCD\Framework\Web\ListViewPageBase.cs; Line Number: 31 ;Message: The maximum message size quota for incoming messages (65536) has been exceeded. To increase the quota, use the MaxReceivedMessageSize property on the appropriate binding element.
2016-11-25 10:03:49,439 [44] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: The maximum message size quota for incoming messages (65536) has been exceeded. To increase the quota, use the MaxReceivedMessageSize property on the appropriate binding element.
2016-11-25 10:03:49,439 [44] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: The maximum message size quota for incoming messages (65536) has been exceeded. To increase the quota, use the MaxReceivedMessageSize property on the appropriate binding element.
2016-11-25 10:03:49,439 [44] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: The maximum message size quota for incoming messages (65536) has been exceeded. To increase the quota, use the MaxReceivedMessageSize property on the appropriate binding element.
2016-11-25 10:03:49,439 [44] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: The maximum message size quota for incoming messages (65536) has been exceeded. To increase the quota, use the MaxReceivedMessageSize property on the appropriate binding element.
2016-11-25 10:04:18,108 [36] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: ListView with id 'lvData' must have a data source that either implements ICollection or can perform data source paging if AllowPaging is true.
2016-11-25 10:04:18,108 [36] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: ListView with id 'lvData' must have a data source that either implements ICollection or can perform data source paging if AllowPaging is true.
2016-11-25 10:04:18,108 [36] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: ListView with id 'lvData' must have a data source that either implements ICollection or can perform data source paging if AllowPaging is true.
2016-11-25 10:04:18,108 [36] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: ListView with id 'lvData' must have a data source that either implements ICollection or can perform data source paging if AllowPaging is true.
2016-11-25 10:04:18,108 [36] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: ListView with id 'lvData' must have a data source that either implements ICollection or can perform data source paging if AllowPaging is true.
2016-11-25 10:04:18,108 [36] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: ListView with id 'lvData' must have a data source that either implements ICollection or can perform data source paging if AllowPaging is true.
2016-11-25 10:04:18,108 [36] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: ListView with id 'lvData' must have a data source that either implements ICollection or can perform data source paging if AllowPaging is true.
2016-11-25 10:04:18,108 [36] ERROR /Province/VanBan_DongBo.aspx - FileName: D:\Projects\YKCD\Framework\Web\ListViewPageBase.cs; Line Number: 157 ;Message: ListView with id 'lvData' must have a data source that either implements ICollection or can perform data source paging if AllowPaging is true.
2016-11-25 10:04:18,108 [36] ERROR /Province/VanBan_DongBo.aspx - FileName: D:\Projects\YKCD\Framework\Web\ListViewPageBase.cs; Line Number: 31 ;Message: ListView with id 'lvData' must have a data source that either implements ICollection or can perform data source paging if AllowPaging is true.
2016-11-25 10:04:18,108 [36] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: ListView with id 'lvData' must have a data source that either implements ICollection or can perform data source paging if AllowPaging is true.
2016-11-25 10:04:18,108 [36] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: ListView with id 'lvData' must have a data source that either implements ICollection or can perform data source paging if AllowPaging is true.
